Entity,Code,Year,living_planet_index_average,living_planet_index_upper,living_planet_index_lower
Africa,,1970,100,100,100
Africa,,1971,95.4619689,104.91080310000001,87.7905669
Africa,,1972,94.6834134,110.86783929999999,81.47983880000001
Africa,,1973,99.18117360000001,120.8707213,81.908753
Africa,,1974,99.384934,127.87777950000002,77.1446096
Africa,,1975,96.6180782,132.4486311,69.761962
Africa,,1976,92.4301969,134.8479638,61.837048800000005
Africa,,1977,87.2671198,131.951995,56.3436072
Africa,,1978,80.73154070000001,125.72732529999999,50.860652200000004
Africa,,1979,76.9254314,125.75389589999999,46.266408999999996
Africa,,1980,76.9081876,132.8204823,43.8800042
Africa,,1981,79.57674139999999,142.6150695,43.6448033
Africa,,1982,76.4077794,139.8253089,41.0753522
Africa,,1983,73.1503259,134.313978,39.0570959
Africa,,1984,68.4761215,126.0813991,36.338758399999996
Africa,,1985,63.7356956,117.93069839999998,33.6530432
Africa,,1986,59.7940078,111.44868029999999,31.480373099999998
Africa,,1987,57.3022634,107.70771990000001,30.151214500000002
Africa,,1988,56.041718900000006,105.84155630000001,29.4651004
Africa,,1989,55.16369209999999,104.72860260000002,28.9561275
Africa,,1990,53.5341213,102.0471154,27.992062299999997
Africa,,1991,52.495760700000005,100.4773682,27.323914799999997
Africa,,1992,52.553061400000004,101.0381931,27.247414199999998
Africa,,1993,52.87971769999999,102.2262265,27.2298129
Africa,,1994,53.7990254,104.6411241,27.489396
Africa,,1995,53.2089821,104.13283,27.013077600000003
Africa,,1996,53.313998399999996,104.8317159,26.9979873
Africa,,1997,52.35894760000001,103.3454929,26.479854600000003
Africa,,1998,51.4812834,101.866499,26.052165799999997
Africa,,1999,50.73549630000001,100.5380784,25.6536467
Africa,,2000,49.8478206,99.0628086,25.194832299999998
Africa,,2001,47.7969422,95.5173003,24.0470567
Africa,,2002,45.4182948,91.4103573,22.772600100000002
Africa,,2003,43.467074700000005,88.0793043,21.5846269
Africa,,2004,43.0759027,88.143674,21.047456
Africa,,2005,42.3475095,87.5202311,20.3524912
Africa,,2006,41.7608907,87.05808710000001,19.843455300000002
Africa,,2007,41.7640316,87.3575831,19.8294506
Africa,,2008,42.106512200000004,88.0000107,19.957817
Africa,,2009,42.209775,88.48471,19.9609472
Africa,,2010,41.1133919,86.3889326,19.3916553
Africa,,2011,39.3256355,83.0753708,18.4961851
Africa,,2012,36.9574054,78.1068995,17.359079
Africa,,2013,34.5145394,73.0016921,16.1848117
Africa,,2014,32.4928695,68.6286358,15.238575200000001
Africa,,2015,31.293572800000003,66.2561521,14.669147099999998
Africa,,2016,32.054221500000004,68.0268934,14.9688821
Africa,,2017,34.4458751,73.43357999999999,15.991854
Asia and Pacific,,1970,100,100,100
Asia and Pacific,,1971,103.7109657,109.7304737,98.47158470000001
Asia and Pacific,,1972,104.83866859999999,114.4042346,96.1006915
Asia and Pacific,,1973,104.1134016,114.8096754,93.620443
Asia and Pacific,,1974,104.9811427,116.5759634,93.8732991
Asia and Pacific,,1975,105.9803663,118.4052305,94.3320861
Asia and Pacific,,1976,106.0154597,119.127385,93.9715527
Asia and Pacific,,1977,104.1612733,117.26179699999999,92.1532313
Asia and Pacific,,1978,102.561853,115.7286946,90.4999924
Asia and Pacific,,1979,101.4466364,114.7537338,89.247058
Asia and Pacific,,1980,100.6715203,114.1953561,88.3268142
Asia and Pacific,,1981,99.02615259999999,112.6576649,86.6304
Asia and Pacific,,1982,96.7173069,110.36655040000001,84.3433102
Asia and Pacific,,1983,93.7090272,107.2534865,81.4814909
Asia and Pacific,,1984,92.2515952,106.7065431,79.4789481
Asia and Pacific,,1985,92.45853550000001,108.6619537,78.4923531
Asia and Pacific,,1986,94.2524124,113.6544225,78.2645522
Asia and Pacific,,1987,94.7575872,116.5778076,77.4200407
Asia and Pacific,,1988,94.4038539,118.0132323,76.2228167
Asia and Pacific,,1989,93.0612438,117.2725294,74.679108
Asia and Pacific,,1990,90.0934888,114.6996813,71.5425932
Asia and Pacific,,1991,86.5267314,111.541443,67.8338584
Asia and Pacific,,1992,82.8573325,108.1992687,64.09075589999999
Asia and Pacific,,1993,78.792209,104.0178858,60.28006
Asia and Pacific,,1994,75.6363913,100.8917021,57.1585417
Asia and Pacific,,1995,72.3442216,97.4930493,54.0732205
Asia and Pacific,,1996,70.8067779,96.0636234,52.5069183
Asia and Pacific,,1997,68.9327964,94.2172288,50.775835
Asia and Pacific,,1998,66.6941388,91.7990418,48.7455506
Asia and Pacific,,1999,64.50407249999999,89.51846719999999,46.805005900000005
Asia and Pacific,,2000,62.2660213,86.9365061,44.9240562
Asia and Pacific,,2001,61.2744996,85.8113193,43.9874959
Asia and Pacific,,2002,61.505191999999994,86.175133,43.9999318
Asia and Pacific,,2003,62.2018732,87.2195324,44.3281634
Asia and Pacific,,2004,63.061951199999996,88.8284198,44.8176257
Asia and Pacific,,2005,62.8762271,89.2961017,44.5008295
Asia and Pacific,,2006,62.679865899999996,89.85097359999999,44.099129500000004
Asia and Pacific,,2007,59.9801206,86.90742,41.7373561
Asia and Pacific,,2008,55.8495942,81.72202,38.40117
Asia and Pacific,,2009,50.05290289999999,74.3028999,33.8852926
Asia and Pacific,,2010,46.797658399999996,70.7637296,31.1540423
Asia and Pacific,,2011,44.4239072,68.6120131,28.9230303
Asia and Pacific,,2012,43.9966301,69.18258229999999,28.0506423
Asia and Pacific,,2013,44.6490574,71.0942926,27.924296
Asia and Pacific,,2014,45.918137599999994,73.7064808,28.423892099999996
Asia and Pacific,,2015,46.883876,75.927517,28.741619200000002
Asia and Pacific,,2016,44.7551455,73.1446444,27.2450971
Asia and Pacific,,2017,44.3357649,73.0372291,26.8411588
Asia and Pacific,,2018,44.679649500000004,74.0307893,26.983685
Europe and Central Asia,,1970,100,100,100
Europe and Central Asia,,1971,101.27225820000001,103.9584249,98.8250018
Europe and Central Asia,,1972,103.28786960000001,108.00541319999999,99.0272485
Europe and Central Asia,,1973,105.6278309,111.6047687,100.20730149999999
Europe and Central Asia,,1974,107.57694849999999,114.5981476,101.18581440000001
Europe and Central Asia,,1975,108.685179,116.59800659999999,101.3882023
Europe and Central Asia,,1976,109.4471862,118.5310152,101.0193852
Europe and Central Asia,,1977,110.94269940000001,121.2312018,101.316498
Europe and Central Asia,,1978,112.8089544,124.22975949999999,102.208653
Europe and Central Asia,,1979,113.8832152,125.9256084,102.753468
Europe and Central Asia,,1980,113.81797689999999,126.32768800000001,102.3677644
Europe and Central Asia,,1981,113.09560110000001,125.8976118,101.3732967
Europe and Central Asia,,1982,113.4491216,126.8461861,101.3401727
Europe and Central Asia,,1983,112.00391220000002,126.1667367,99.2966992
Europe and Central Asia,,1984,112.05086109999999,127.27555800000002,98.5575496
Europe and Central Asia,,1985,111.94302160000001,128.0199074,97.7501365
Europe and Central Asia,,1986,113.9536756,130.83415839999998,99.13698720000001
Europe and Central Asia,,1987,116.7714251,134.6301499,101.1730424
Europe and Central Asia,,1988,121.41252499999999,140.5840394,104.80395979999999
Europe and Central Asia,,1989,126.95860219999999,147.5154891,109.2734967
Europe and Central Asia,,1990,130.5446892,152.01786859999999,112.1429939
Europe and Central Asia,,1991,130.7410732,152.5705764,112.1332247
Europe and Central Asia,,1992,128.747907,150.5780109,110.2105914
Europe and Central Asia,,1993,125.2536173,146.9269857,106.95001740000001
Europe and Central Asia,,1994,121.7116178,143.1587774,103.5898096
Europe and Central Asia,,1995,118.51712940000002,139.76156609999998,100.5811968
Europe and Central Asia,,1996,114.81868070000002,135.81345629999998,97.14656459999999
Europe and Central Asia,,1997,111.92476760000001,132.79465580000002,94.5032375
Europe and Central Asia,,1998,109.0750407,129.8378538,91.8621212
Europe and Central Asia,,1999,107.3508444,128.1865327,90.1912588
Europe and Central Asia,,2000,106.45916220000001,127.48807330000001,89.2322231
Europe and Central Asia,,2001,105.061322,126.3327802,87.6827807
Europe and Central Asia,,2002,104.75336390000001,126.5074104,87.0733667
Europe and Central Asia,,2003,104.1609588,126.2877376,86.1632553
Europe and Central Asia,,2004,104.877104,127.4069012,86.5588879
Europe and Central Asia,,2005,105.4472695,128.3443211,86.8347906
Europe and Central Asia,,2006,105.83015520000001,129.1326362,87.0449574
Europe and Central Asia,,2007,105.5778277,129.05332140000002,86.6466724
Europe and Central Asia,,2008,104.43361980000002,128.3889001,85.35068940000001
Europe and Central Asia,,2009,104.4281631,129.7232047,84.4323425
Europe and Central Asia,,2010,105.53932040000001,132.8543708,84.3570096
Europe and Central Asia,,2011,103.01810549999999,131.1175941,81.3841499
Europe and Central Asia,,2012,98.60530920000001,126.89137349999999,77.0906855
Europe and Central Asia,,2013,92.2752804,119.9745179,71.4164488
Europe and Central Asia,,2014,90.6011161,119.6206554,68.8711134
Europe and Central Asia,,2015,88.4297436,118.17702349999999,66.1678605
Europe and Central Asia,,2016,86.1145006,116.71817360000001,63.3799561
Europe and Central Asia,,2017,83.4874868,113.77509459999999,61.1813471
Europe and Central Asia,,2018,82.2915342,112.55792579999999,60.269073399999996
Freshwater,,1970,100,100,100
Freshwater,,1971,98.293719,102.4784386,94.5666478
Freshwater,,1972,97.1892653,103.8793042,91.1696611
Freshwater,,1973,96.9687796,104.8540663,89.8240837
Freshwater,,1974,94.1979449,103.6485519,85.50666249999999
Freshwater,,1975,90.12309640000001,101.42602439999999,79.7465992
Freshwater,,1976,85.9175801,98.7090293,74.14359470000001
Freshwater,,1977,82.2131566,95.6380978,69.9702065
Freshwater,,1978,78.7561764,92.4860341,66.39987670000001
Freshwater,,1979,76.224954,90.8888029,63.4286911
Freshwater,,1980,74.3899106,90.41518549999999,60.867895100000005
Freshwater,,1981,73.1106672,90.250657,59.0962419
Freshwater,,1982,69.9692154,87.0822618,56.193807799999995
Freshwater,,1983,66.3032209,82.9784632,52.958413199999995
Freshwater,,1984,62.957821700000004,79.3634804,49.8227522
Freshwater,,1985,60.4836256,77.2210934,47.2789056
Freshwater,,1986,58.4069615,75.5401921,45.1760938
Freshwater,,1987,55.70559349999999,72.8741304,42.6939446
Freshwater,,1988,52.631979900000005,69.43902709999999,40.0698597
Freshwater,,1989,51.0816621,67.77028320000001,38.7051854
Freshwater,,1990,49.2790176,65.7095174,37.1783601
Freshwater,,1991,47.6622292,63.8790355,35.7763436
Freshwater,,1992,45.5418343,61.468928700000006,33.9840218
Freshwater,,1993,43.4511732,58.9821214,32.2165689
Freshwater,,1994,41.4504899,56.542511,30.562539
Freshwater,,1995,38.7363263,52.9432247,28.4664177
Freshwater,,1996,37.2176802,51.105927699999995,27.2928823
Freshwater,,1997,34.957732,48.2589457,25.563574700000004
Freshwater,,1998,33.017622,45.8454331,24.0438484
Freshwater,,1999,30.7366504,42.8889853,22.2748958
Freshwater,,2000,29.1271184,40.7590954,21.025493100000002
Freshwater,,2001,27.339613,38.5754319,19.6058392
Freshwater,,2002,25.804478400000004,36.7060179,18.3647119
Freshwater,,2003,24.8165904,35.681177,17.4875424
Freshwater,,2004,24.352142800000003,35.2209257,17.0397872
Freshwater,,2005,24.300850399999998,35.3412369,16.9040136
Freshwater,,2006,23.917998700000002,34.9703478,16.570760500000002
Freshwater,,2007,23.4634188,34.4933233,16.1844982
Freshwater,,2008,22.6305172,33.519457800000005,15.519760199999999
Freshwater,,2009,21.624906199999998,32.275263100000004,14.7088306
Freshwater,,2010,20.667347499999998,31.105954000000004,13.891721100000002
Freshwater,,2011,19.1988471,29.1392527,12.7437579
Freshwater,,2012,18.0219349,27.547592799999997,11.8397648
Freshwater,,2013,17.315143499999998,26.621075599999998,11.306868
Freshwater,,2014,17.4279543,26.864237000000003,11.3628584
Freshwater,,2015,17.5929918,27.1837077,11.4456103
Freshwater,,2016,17.3996065,26.8996951,11.3071691
Freshwater,,2017,17.211237500000003,26.6000844,11.1643982
Freshwater,,2018,17.144189400000002,26.4797937,11.110024899999999
Latin America and the Caribbean,,1970,100,100,100
Latin America and the Caribbean,,1971,101.0071636,104.11059689999999,98.4167197
Latin America and the Caribbean,,1972,99.52310949999999,106.1407687,93.6485237
Latin America and the Caribbean,,1973,95.2122285,105.34184049999999,86.0003305
Latin America and the Caribbean,,1974,89.5563479,103.565333,76.94124049999999
Latin America and the Caribbean,,1975,83.3978282,99.9139864,69.0072347
Latin America and the Caribbean,,1976,78.07280709999999,95.88828579999999,63.068044300000004
Latin America and the Caribbean,,1977,73.0437843,90.4923354,58.530471399999996
Latin America and the Caribbean,,1978,69.5593466,86.46619079999999,55.591723599999995
Latin America and the Caribbean,,1979,67.4653369,84.17390259999999,53.737348
Latin America and the Caribbean,,1980,65.0498838,81.3841687,51.612786
Latin America and the Caribbean,,1981,62.513807,78.5607554,49.3195098
Latin America and the Caribbean,,1982,58.2923756,73.8203552,45.644396
Latin America and the Caribbean,,1983,53.373236199999994,68.2949275,41.5340998
Latin America and the Caribbean,,1984,49.6977588,64.5389766,38.329867
Latin America and the Caribbean,,1985,46.941833,61.657561199999996,35.9259806
Latin America and the Caribbean,,1986,44.3168275,58.8636751,33.49296
Latin America and the Caribbean,,1987,40.6477786,54.438718200000004,30.468063
Latin America and the Caribbean,,1988,37.7652622,51.058866,28.0686441
Latin America and the Caribbean,,1989,35.9970139,48.9756475,26.6598846
Latin America and the Caribbean,,1990,34.9957577,47.7697264,25.8238284
Latin America and the Caribbean,,1991,33.752610700000005,46.1926817,24.8353248
Latin America and the Caribbean,,1992,32.369484199999995,44.4392686,23.7640877
Latin America and the Caribbean,,1993,30.579263499999996,42.1563971,22.380230400000002
Latin America and the Caribbean,,1994,28.683862599999998,39.654119,20.9446756
Latin America and the Caribbean,,1995,26.6828334,36.973377400000004,19.445473
Latin America and the Caribbean,,1996,25.408627900000003,35.2864016,18.4880675
Latin America and the Caribbean,,1997,24.0465035,33.4897187,17.452848000000003
Latin America and the Caribbean,,1998,22.5881777,31.5767986,16.305588200000003
Latin America and the Caribbean,,1999,20.8280991,29.225230200000002,14.9612086
Latin America and the Caribbean,,2000,19.7551713,27.8203199,14.1191595
Latin America and the Caribbean,,2001,18.556381599999998,26.3919071,13.1441043
Latin America and the Caribbean,,2002,17.4334989,25.0737068,12.1887472
Latin America and the Caribbean,,2003,16.2074901,23.6239859,11.166549
Latin America and the Caribbean,,2004,15.498992000000001,22.792057800000002,10.5613
Latin America and the Caribbean,,2005,15.3081408,22.7310595,10.359299
Latin America and the Caribbean,,2006,15.012579800000001,22.475517,10.0761404
Latin America and the Caribbean,,2007,14.548460899999998,21.9133216,9.7184013
Latin America and the Caribbean,,2008,13.5933336,20.5905293,9.0012634
Latin America and the Caribbean,,2009,11.9460841,18.2888596,7.8272462
Latin America and the Caribbean,,2010,10.3764877,16.1299078,6.697218400000001
Latin America and the Caribbean,,2011,8.8097502,13.977072500000002,5.5901676
Latin America and the Caribbean,,2012,8.1147527,13.040882400000001,5.0982558
Latin America and the Caribbean,,2013,7.7500345,12.5857674,4.8310487
Latin America and the Caribbean,,2014,7.7751585,12.8036659,4.7989028000000005
Latin America and the Caribbean,,2015,7.8492061,13.0737965,4.7955114
Latin America and the Caribbean,,2016,7.406642,12.639303299999998,4.4338134
Latin America and the Caribbean,,2017,6.8550363,11.9185711,4.0334935000000005
Latin America and the Caribbean,,2018,6.413632099999999,11.390088,3.7027986999999998
North America,,1970,100,100,100
North America,,1971,99.7004935,105.5057865,95.2655403
North America,,1972,98.1814349,108.2332705,90.6197945
North America,,1973,96.0216008,108.92595730000001,86.654047
North America,,1974,92.08159889999999,104.9298607,82.373612
North America,,1975,89.9868154,103.11446230000001,79.9308904
North America,,1976,89.2258526,102.77493150000001,78.647609
North America,,1977,89.8321014,104.33984620000001,78.418145
North America,,1978,90.7552718,106.4901667,78.33394940000001
North America,,1979,91.1322222,107.9458069,77.9205893
North America,,1980,90.8661431,108.34336289999999,77.14145959999999
North America,,1981,90.0886972,107.8116298,76.1093935
North America,,1982,89.6391462,107.7128584,75.3608423
North America,,1983,89.5306246,108.1225565,74.8789819
North America,,1984,88.89054320000001,108.07860380000001,73.8981827
North America,,1985,88.76709860000001,108.63074900000001,73.42565210000001
North America,,1986,88.2464152,108.6007817,72.6824765
North America,,1987,87.4895724,107.94314119999999,71.7632236
North America,,1988,86.57777279999999,107.1553803,70.6919127
North America,,1989,85.2738235,105.9676735,69.2659331
North America,,1990,85.2314494,106.3925164,68.9431474
North America,,1991,84.3305661,105.55337929999999,67.9548284
North America,,1992,84.5488738,106.04083790000001,67.9208625
North America,,1993,84.5954698,106.30810079999999,67.762493
North America,,1994,85.1541729,107.3701933,68.0026123
North America,,1995,82.9825009,105.2023897,65.9442709
North America,,1996,80.45053060000001,102.65619509999999,63.581228599999996
North America,,1997,77.9770309,100.13013699999999,61.251739699999995
North America,,1998,76.00231840000001,98.0835454,59.413087899999994
North America,,1999,74.02554930000001,95.9540157,57.5991056
North America,,2000,72.1602279,93.9551685,55.8693188
North America,,2001,70.7939447,92.5458691,54.5425351
North America,,2002,71.131851,93.50483080000001,54.430900199999996
North America,,2003,71.8898774,95.10584229999999,54.6336472
North America,,2004,73.6451328,98.0256017,55.5618037
North America,,2005,73.6880222,98.7108238,55.250897
North America,,2006,73.6199415,99.06653949999999,54.990119699999994
North America,,2007,73.5673982,99.3048253,54.818940500000004
North America,,2008,73.5583422,99.438085,54.7316268
North America,,2009,73.3446659,99.37609830000001,54.3549745
North America,,2010,72.690968,98.80053629999999,53.6733691
North America,,2011,72.3160147,98.4682426,53.235093
North America,,2012,70.9925742,96.9550905,52.0384549
North America,,2013,70.26417310000001,96.50061170000001,51.205615699999996
North America,,2014,70.7846323,97.8263804,51.2030221
North America,,2015,72.9642716,101.4748013,52.5657793
North America,,2016,75.4335217,105.7276882,54.0178545
North America,,2017,77.5017625,109.47367589999999,55.2363137
North America,,2018,79.6477817,113.0871021,56.51432
World,OWID_WRL,1970,100,100,100
World,OWID_WRL,1971,99.1002759,100.9532123,97.3148947
World,OWID_WRL,1972,97.9298836,101.1930825,94.7653954
World,OWID_WRL,1973,96.7828407,101.005601,92.6636049
World,OWID_WRL,1974,95.3454341,100.61854969999999,90.2682746
World,OWID_WRL,1975,93.5558012,99.7971052,87.6303107
World,OWID_WRL,1976,91.4892185,98.4079385,84.93377989999999
World,OWID_WRL,1977,88.5352412,95.6108932,81.8530892
World,OWID_WRL,1978,85.68404670000001,92.7871614,78.98626130000001
World,OWID_WRL,1979,83.34747999999999,90.67067920000001,76.50850630000001
World,OWID_WRL,1980,81.5080934,89.2105091,74.388272
World,OWID_WRL,1981,79.8368748,87.8251131,72.51910620000001
World,OWID_WRL,1982,77.2813851,85.3322953,69.9519295
World,OWID_WRL,1983,74.5181848,82.54593489999999,67.2454963
World,OWID_WRL,1984,71.8320243,79.8806095,64.54340309999999
World,OWID_WRL,1985,69.7531144,77.9047038,62.4385823
World,OWID_WRL,1986,68.12566559999999,76.37934010000001,60.78744699999999
World,OWID_WRL,1987,66.322487,74.5704139,59.04727870000001
World,OWID_WRL,1988,64.5467006,72.7827188,57.360105100000006
World,OWID_WRL,1989,63.5743437,71.8383787,56.403678400000004
World,OWID_WRL,1990,62.6811227,71.0306149,55.4894903
World,OWID_WRL,1991,61.6091396,69.99980839999999,54.3542372
World,OWID_WRL,1992,60.1198509,68.4920136,52.881280600000004
World,OWID_WRL,1993,58.109296300000004,66.3660057,50.9784962
World,OWID_WRL,1994,56.2008977,64.3275453,49.2023326
World,OWID_WRL,1995,54.0360964,62.0324969,47.2029372
World,OWID_WRL,1996,53.042135800000004,61.0120352,46.2224307
World,OWID_WRL,1997,51.7500764,59.6143703,44.9995846
World,OWID_WRL,1998,50.4664511,58.177722499999994,43.809250399999996
World,OWID_WRL,1999,48.6643792,56.1624015,42.2015856
World,OWID_WRL,2000,47.2215375,54.5681729,40.889673599999995
World,OWID_WRL,2001,45.6713694,52.9140444,39.431147
World,OWID_WRL,2002,44.4983943,51.6829678,38.3065339
World,OWID_WRL,2003,43.5156567,50.666522300000004,37.3618957
World,OWID_WRL,2004,42.9278308,50.12129360000001,36.773178800000004
World,OWID_WRL,2005,42.2031513,49.44708,36.074307
World,OWID_WRL,2006,41.295152099999996,48.5931377,35.203315
World,OWID_WRL,2007,40.1428042,47.3578765,34.1396352
World,OWID_WRL,2008,38.7193914,45.7816396,32.8353591
World,OWID_WRL,2009,36.877125,43.7304842,31.167858300000002
World,OWID_WRL,2010,35.1531515,41.8612842,29.596213199999998
World,OWID_WRL,2011,33.441041399999996,40.005717499999996,28.0500189
World,OWID_WRL,2012,32.3710899,38.8422426,27.085877800000002
World,OWID_WRL,2013,31.7382643,38.1353535,26.500441000000002
World,OWID_WRL,2014,31.6690208,38.071988000000005,26.3834578
World,OWID_WRL,2015,31.6275314,38.0687196,26.281211799999998
World,OWID_WRL,2016,31.1454081,37.5621374,25.770212599999997
World,OWID_WRL,2017,30.885270199999997,37.343040300000006,25.465451700000003
World,OWID_WRL,2018,30.897567300000002,37.4378072,25.400315000000003