Source,Year,Mean,Temp_original
GCAG,2016,0.9363,14.8363
GCAG,2015,0.8998,14.799800000000001
GCAG,2014,0.7408,14.6408
GCAG,2013,0.6679,14.5679
GCAG,2012,0.624,14.524000000000001
GCAG,2011,0.5788,14.4788
GCAG,2010,0.7014,14.6014
GCAG,2009,0.6367,14.5367
GCAG,2008,0.5419,14.4419
GCAG,2007,0.61,14.51
GCAG,2006,0.6125,14.512500000000001
GCAG,2005,0.6585,14.5585
GCAG,2004,0.5783,14.4783
GCAG,2003,0.6134,14.5134
GCAG,2002,0.6023,14.5023
GCAG,2001,0.5473,14.4473
GCAG,2000,0.4262,14.3262
GCAG,1999,0.4438,14.3438
GCAG,1998,0.6344,14.5344
GCAG,1997,0.5187,14.418700000000001
GCAG,1996,0.3228,14.2228
GCAG,1995,0.4577,14.357700000000001
GCAG,1994,0.3409,14.2409
GCAG,1993,0.2853,14.1853
GCAG,1992,0.2571,14.1571
GCAG,1991,0.4055,14.3055
GCAG,1990,0.4328,14.3328
GCAG,1989,0.297,14.197000000000001
GCAG,1988,0.3757,14.2757
GCAG,1987,0.3696,14.2696
GCAG,1986,0.2296,14.1296
GCAG,1985,0.1342,14.0342
GCAG,1984,0.149,14.049
GCAG,1983,0.3411,14.241100000000001
GCAG,1982,0.1815,14.0815
GCAG,1981,0.2999,14.1999
GCAG,1980,0.2637,14.1637
GCAG,1979,0.2273,14.1273
GCAG,1978,0.1123,14.0123
GCAG,1977,0.1978,14.097800000000001
GCAG,1976,-0.0792,13.8208
GCAG,1975,0.0034,13.9034
GCAG,1974,-0.0719,13.828100000000001
GCAG,1973,0.1641,14.0641
GCAG,1972,0.0264,13.926400000000001
GCAG,1971,-0.0783,13.8217
GCAG,1970,0.0372,13.9372
GCAG,1969,0.0929,13.9929
GCAG,1968,-0.0296,13.8704
GCAG,1967,-0.0131,13.8869
GCAG,1966,-0.0227,13.8773
GCAG,1965,-0.078,13.822000000000001
GCAG,1964,-0.1495,13.7505
GCAG,1963,0.1068,14.0068
GCAG,1962,0.0888,13.988800000000001
GCAG,1961,0.0775,13.977500000000001
GCAG,1960,0.0204,13.9204
GCAG,1959,0.0596,13.9596
GCAG,1958,0.1095,14.009500000000001
GCAG,1957,0.0488,13.9488
GCAG,1956,-0.199,13.701
GCAG,1955,-0.1354,13.7646
GCAG,1954,-0.1165,13.7835
GCAG,1953,0.0952,13.9952
GCAG,1952,0.0248,13.924800000000001
GCAG,1951,-0.0132,13.886800000000001
GCAG,1950,-0.1616,13.7384
GCAG,1949,-0.0568,13.8432
GCAG,1948,-0.0487,13.8513
GCAG,1947,-0.0477,13.8523
GCAG,1946,-0.004,13.896
GCAG,1945,0.171,14.071
GCAG,1944,0.2928,14.1928
GCAG,1943,0.157,14.057
GCAG,1942,0.1538,14.0538
GCAG,1941,0.196,14.096
GCAG,1940,0.0947,13.9947
GCAG,1939,-0.0139,13.8861
GCAG,1938,-0.0288,13.8712
GCAG,1937,-0.0157,13.8843
GCAG,1936,-0.1134,13.7866
GCAG,1935,-0.1392,13.7608
GCAG,1934,-0.1015,13.7985
GCAG,1933,-0.2439,13.6561
GCAG,1932,-0.1168,13.7832
GCAG,1931,-0.0686,13.8314
GCAG,1930,-0.1003,13.7997
GCAG,1929,-0.2985,13.6015
GCAG,1928,-0.1774,13.7226
GCAG,1927,-0.1546,13.7454
GCAG,1926,-0.0667,13.8333
GCAG,1925,-0.1481,13.751900000000001
GCAG,1924,-0.2486,13.6514
GCAG,1923,-0.2156,13.6844
GCAG,1922,-0.2304,13.6696
GCAG,1921,-0.1485,13.7515
GCAG,1920,-0.2105,13.6895
GCAG,1919,-0.2055,13.6945
GCAG,1918,-0.2084,13.691600000000001
GCAG,1917,-0.3146,13.5854
GCAG,1916,-0.293,13.607000000000001
GCAG,1915,-0.0693,13.8307
GCAG,1914,-0.1395,13.7605
GCAG,1913,-0.3162,13.5838
GCAG,1912,-0.3288,13.571200000000001
GCAG,1911,-0.4332,13.466800000000001
GCAG,1910,-0.3789,13.5211
GCAG,1909,-0.4261,13.4739
GCAG,1908,-0.4396,13.4604
GCAG,1907,-0.3706,13.5294
GCAG,1906,-0.2174,13.6826
GCAG,1905,-0.2931,13.6069
GCAG,1904,-0.4194,13.4806
GCAG,1903,-0.3369,13.5631
GCAG,1902,-0.2463,13.6537
GCAG,1901,-0.1417,13.7583
GCAG,1900,-0.0679,13.8321
GCAG,1899,-0.1173,13.7827
GCAG,1898,-0.2546,13.6454
GCAG,1897,-0.1224,13.7776
GCAG,1896,-0.0974,13.8026
GCAG,1895,-0.229,13.671000000000001
GCAG,1894,-0.2808,13.619200000000001
GCAG,1893,-0.3212,13.578800000000001
GCAG,1892,-0.3062,13.5938
GCAG,1891,-0.2532,13.6468
GCAG,1890,-0.322,13.578000000000001
GCAG,1889,-0.0982,13.8018
GCAG,1888,-0.1471,13.7529
GCAG,1887,-0.2489,13.6511
GCAG,1886,-0.2003,13.6997
GCAG,1885,-0.2125,13.6875
GCAG,1884,-0.2009,13.6991
GCAG,1883,-0.1424,13.7576
GCAG,1882,-0.0648,13.8352
GCAG,1881,-0.0628,13.837200000000001
GCAG,1880,-0.1148,13.7852